area,own,weekToWeek,guardrails,warning
Decision quality early,Make tradeoffs visible before the team commits,"You’re in the first working session, not the final review. You name risks, user impact, and constraints while options are still flexible.","“Looks finished” ≠ “agreed.” AI drafts trigger a tradeoff check, not an auto-approval.",You’re asked to review after tickets are written or after UI is already in PR.
Intent + rationale,Keep the why legible,"You write 3–5 bullets that explain intent, constraints, and what good means for this slice.",AI output must be paired with intent: what are we optimizing for?,People circulate screenshots without context and treat reactions as decisions.
Interaction quality,"States, edge cases, and user trust","You cover empty/error/loading states, recovery flows, permissions, confirmations, and clear feedback.",AI often skips states. You insist on state coverage before done.,You’re only asked to polish the happy path. UX debt appears after launch.
System coherence,Prevent drift across surfaces,"You align patterns, tokens, components, and behavior rules across the product.",AI creates plausible but inconsistent patterns. You standardize before duplication spreads.,Every feature invents a new pattern because the AI suggested it.
Draft discipline,Keep work reversible,You label what’s draft vs committed and keep batches small enough to revise without drama.,AI increases speed; you protect reversibility so fast output doesn’t become the default.,Too late to change shows up early.
Quality bar (craft),Define what good means beyond polish,"You define a lightweight bar: clarity, consistency, accessibility, state coverage, and rationale.",AI makes polish cheap; you keep the bar anchored in usability and coherence.,Craft becomes a style debate instead of a product-quality discussion.
Collaboration model,Stay embedded where decisions happen,"You set working agreements: when you’re needed, which decisions require you, and how async reviews work.",Pairing helps but isn’t required; decision timing matters more than perfect ratios.,You’re treated like a service desk instead of a partner shaping direction.
Outcome ownership,Tie design to measurable impact,"You help define success metrics and run post-ship checks (support signals, drop-offs, usability issues).",AI can inflate output volume; keep accountability anchored in outcomes.,You’re accountable for polish but absent from outcome review.
User validation,Bring reality checks into the loop,You run lightweight tests and prototype checks before build locks in.,AI can create confidence without evidence; bring evidence back into the room.,Research is treated as optional because the AI already designed it.
AI literacy (practical),"Use AI as acceleration, not authority","You use AI for drafts, variants, and synthesis, then apply judgment and system constraints.","AI generates, humans validate.",You’re expected to just prompt it to solve product ambiguity.
